gpm 1.20.7.r27.g1fd1941-2
gptfdisk 1.0.5-1
graphene 1.10.2-1
graphite 1:1.3.14-1
graphviz 2.44.0-5
grep 3.4-1
groff 1.22.4-3
gsettings-desktop-schemas 3.36.1-1
gsfonts 20180524-3
gsl 2.6-2
gsm 1.0.19-1
gst-plugins-base 1.16.2-2
gst-plugins-base-libs 1.16.2-2
gstreamer 1.16.2-2
gstreamer0.10 0.10.36-17
gstreamer0.10-base 0.10.36-13
gstreamer0.10-fluendo 0.10.85-2
gtk-doc 1.32+37+gefc3644-1
gtk-update-icon-cache 1:3.24.21-1
gtk-xfce-engine 2.10.1-2
gtk2 2.24.32-2
gtk3 1:3.24.21-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.2-2
gtksourceview3 3.24.11+28+g73e57b57-1
gtkspell 2.0.16-8
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
guile 2.2.6-2
guile2.0 2.0.14-4
gvfs 1.44.1-4
gvim 8.2.0814-3
gzip 1.10-3
harfbuzz 2.6.8-2
harfbuzz-icu 2.6.8-2
hdf5 1.12.0-2
hdparm 9.58-3
hicolor-icon-theme 0.17-2
hidapi 0.9.0-2
hspell 1.4-3
htop 2.2.0-3
http-parser 2.9.4-1
hunspell 1.7.0-3
hunspell-en_US 2019.10.06-1
hwids 20200306-1
hwloc 2.2.0-1
hyphen 2.8.8-3
iana-etc 20200707-1
icu 67.1-1
id3lib 3.8.3-18
id3v2 0.1.12-6
ijs 0.35-3
imagemagick 7.0.10.24-1
imlib2 1.6.1-2
inetutils 1.9.4-8
inkscape 1.0-5
intel-common-libs 2020.1.217-3
intel-compute-runtime 20.27.17231-1
intel-gmmlib 20.2.2-1
intel-graphics-compiler 1:1.0.4241-1
intel-media-driver 20.2.0-1
intel-media-sdk 20.2.0-1
intel-opencl-clang 10.0.0.1-1
intel-ucode 20200616-1
intltool 0.51.0-6
iproute2 5.7.0-1
iptables 1:1.8.5-2
iputils 20190709-2
ipython 7.16.1-1
iso-codes 4.5.0-1
itstool 1:2.0.6-2
iw 5.4-1
jack 0.125.0-9
jansson 2.13.1-1
jasper 2.0.16-2
java-environment-common 3-3
java-runtime-common 3-3
java8-openjfx 8.u202-3
jbig2dec 0.18-1
jdk8-openjdk 8.u262-1
jfsutils 1.1.15-7
jre-openjdk 14.0.2.u12-1
jre-openjdk-headless 14.0.2.u12-1
jre8-openjdk 8.u262-1
jre8-openjdk-headless 8.u262-1
js60 60.9.0-2
json-c 0.14-4
json-glib 1.4.4-2
jsoncpp 1.9.3-1
jupyter 4.6.3-1
jupyter-nbconvert 5.6.1-1
jupyter-nbformat 5.0.6-1
jupyter-notebook 6.0.3-1
jupyter-widgetsnbextension 1:3.5.1-1
jupyter_console 6.1.0-1
jxrlib 0.2.1-3
karchive 5.72.0-1
kauth 5.72.0-1
kbd 2.2.0-5
kbookmarks 5.72.0-1
kcodecs 5.72.0-1
kcompletion 5.72.0-1
kconfig 5.72.0-1
kconfigwidgets 5.72.0-1
kcoreaddons 5.72.0-1
kcrash 5.72.0-1
kdbusaddons 5.72.0-1
kded 5.72.0-1
keyutils 1.6.3-1
kglobalaccel 5.72.0-1
kguiaddons 5.72.0-1
ki18n 5.72.0-1
kicad 5.1.6-1
kicad-library 5.1.6-1
kicad-library-3d 5.1.6-1
kiconthemes 5.72.0-1
kid3 3.8.3-1
kid3-common 3.8.3-1
kio 5.72.0-1
kitemviews 5.72.0-1
kjobwidgets 5.72.0-1
kmod 27-1
knotifications 5.72.0-1
krb5 1.18.2-1
kservice 5.72.0-1
ktextwidgets 5.72.0-1
kwallet 5.72.0-1
kwidgetsaddons 5.72.0-1
kwindowsystem 5.72.0-1
kxmlgui 5.72.0-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.9.0-3
lcms2 2.11-2
ldb 1:2.1.3-1
ldns 1.7.1-2
lensfun 0.3.95-2
less 551-3
levmar 2.6-3
lib32-alsa-lib 1.2.3.2-1
lib32-alsa-plugins 1.2.2-1
lib32-at-spi2-core 2.36.0-1
lib32-atk 2.36.0-1
lib32-attr 2.4.48-1
